Traffic flow,Datetime,Vehicle count,Road name
mid,2024-09-23 16:36:00,10,King Fahad Road
mid,2024-09-23 16:36:01,10,King Fahad Road
mid,2024-09-23 16:36:02,11,King Fahad Road
mid,2024-09-23 16:36:03,10,King Fahad Road
light,2024-09-23 16:36:04,9,King Fahad Road
mid,2024-09-23 16:36:05,10,King Fahad Road
mid,2024-09-23 16:36:06,10,King Fahad Road
mid,2024-09-23 16:36:07,10,King Fahad Road
mid,2024-09-23 16:36:08,10,King Fahad Road
light,2024-09-23 16:36:09,9,King Fahad Road
light,2024-09-23 16:36:10,9,King Fahad Road
mid,2024-09-23 16:36:11,10,King Fahad Road
mid,2024-09-23 16:36:12,10,King Fahad Road
mid,2024-09-23 16:36:13,10,King Fahad Road
mid,2024-09-23 16:36:14,10,King Fahad Road
mid,2024-09-23 16:36:15,10,King Fahad Road
mid,2024-09-23 16:36:16,10,King Fahad Road
mid,2024-09-23 16:36:17,10,King Fahad Road
mid,2024-09-23 16:36:18,10,King Fahad Road
mid,2024-09-23 16:36:19,10,King Fahad Road
mid,2024-09-23 16:36:20,10,King Fahad Road
mid,2024-09-23 16:36:21,10,King Fahad Road
light,2024-09-23 16:36:22,9,King Fahad Road
light,2024-09-23 16:36:23,9,King Fahad Road
light,2024-09-23 16:36:24,9,King Fahad Road
light,2024-09-23 16:36:25,9,King Fahad Road
light,2024-09-23 16:36:26,9,King Fahad Road
light,2024-09-23 16:36:27,9,King Fahad Road
mid,2024-09-23 16:36:28,11,King Fahad Road
mid,2024-09-23 16:36:29,11,King Fahad Road
mid,2024-09-23 16:36:30,11,King Fahad Road
mid,2024-09-23 16:36:31,11,King Fahad Road
mid,2024-09-23 16:36:32,10,King Fahad Road
mid,2024-09-23 16:36:33,10,King Fahad Road
mid,2024-09-23 16:36:34,11,King Fahad Road
mid,2024-09-23 16:36:35,11,King Fahad Road
mid,2024-09-23 16:36:36,11,King Fahad Road
mid,2024-09-23 16:36:37,11,King Fahad Road
mid,2024-09-23 16:36:38,10,King Fahad Road
mid,2024-09-23 16:36:39,10,King Fahad Road
mid,2024-09-23 16:36:40,11,King Fahad Road
mid,2024-09-23 16:36:41,10,King Fahad Road
mid,2024-09-23 16:36:42,10,King Fahad Road
mid,2024-09-23 16:36:43,11,King Fahad Road
mid,2024-09-23 16:36:44,11,King Fahad Road
mid,2024-09-23 16:36:45,11,King Fahad Road
mid,2024-09-23 16:36:46,11,King Fahad Road
mid,2024-09-23 16:36:47,11,King Fahad Road
mid,2024-09-23 16:36:48,11,King Fahad Road
mid,2024-09-23 16:36:49,11,King Fahad Road
mid,2024-09-23 16:36:50,11,King Fahad Road
mid,2024-09-23 16:36:51,11,King Fahad Road
mid,2024-09-23 16:36:52,10,King Fahad Road
mid,2024-09-23 16:36:53,10,King Fahad Road
mid,2024-09-23 16:36:54,10,King Fahad Road
mid,2024-09-23 16:36:55,10,King Fahad Road
mid,2024-09-23 16:36:56,10,King Fahad Road
mid,2024-09-23 16:36:57,11,King Fahad Road
mid,2024-09-23 16:36:58,11,King Fahad Road
mid,2024-09-23 16:36:59,11,King Fahad Road
mid,2024-09-23 16:37:00,11,King Fahad Road
mid,2024-09-23 16:37:01,11,King Fahad Road
mid,2024-09-23 16:37:02,12,King Fahad Road
mid,2024-09-23 16:37:03,11,King Fahad Road
mid,2024-09-23 16:37:04,10,King Fahad Road
mid,2024-09-23 16:37:05,12,King Fahad Road
mid,2024-09-23 16:37:06,11,King Fahad Road
mid,2024-09-23 16:37:07,11,King Fahad Road
mid,2024-09-23 16:37:08,11,King Fahad Road
mid,2024-09-23 16:37:09,11,King Fahad Road
mid,2024-09-23 16:37:10,12,King Fahad Road
mid,2024-09-23 16:37:11,11,King Fahad Road
mid,2024-09-23 16:37:12,10,King Fahad Road
mid,2024-09-23 16:37:13,11,King Fahad Road
mid,2024-09-23 16:37:14,12,King Fahad Road
mid,2024-09-23 16:37:15,11,King Fahad Road
mid,2024-09-23 16:37:16,11,King Fahad Road
light,2024-09-23 16:37:17,9,King Fahad Road
light,2024-09-23 16:37:18,9,King Fahad Road
light,2024-09-23 16:37:19,9,King Fahad Road
light,2024-09-23 16:37:20,9,King Fahad Road
light,2024-09-23 16:37:21,9,King Fahad Road
mid,2024-09-23 16:37:22,11,King Fahad Road
light,2024-09-23 16:37:23,9,King Fahad Road
light,2024-09-23 16:37:24,9,King Fahad Road
mid,2024-09-23 16:37:25,10,King Fahad Road
mid,2024-09-23 16:37:26,10,King Fahad Road
light,2024-09-23 16:37:27,9,King Fahad Road
light,2024-09-23 16:37:28,9,King Fahad Road
light,2024-09-23 16:37:29,9,King Fahad Road
light,2024-09-23 16:37:30,9,King Fahad Road
mid,2024-09-23 16:37:31,10,King Fahad Road
mid,2024-09-23 16:37:32,10,King Fahad Road
light,2024-09-23 16:37:33,9,King Fahad Road
mid,2024-09-23 16:37:34,10,King Fahad Road
light,2024-09-23 16:37:35,9,King Fahad Road
mid,2024-09-23 16:37:36,10,King Fahad Road
mid,2024-09-23 16:37:37,10,King Fahad Road
light,2024-09-23 16:37:38,9,King Fahad Road
mid,2024-09-23 16:37:39,10,King Fahad Road
mid,2024-09-23 16:37:40,10,King Fahad Road
mid,2024-09-23 16:37:41,10,King Fahad Road
mid,2024-09-23 16:37:42,10,King Fahad Road
mid,2024-09-23 16:37:43,10,King Fahad Road
mid,2024-09-23 16:37:44,11,King Fahad Road
mid,2024-09-23 16:37:45,10,King Fahad Road
mid,2024-09-23 16:37:46,10,King Fahad Road
mid,2024-09-23 16:37:47,10,King Fahad Road
mid,2024-09-23 16:37:48,10,King Fahad Road
light,2024-09-23 16:37:49,9,King Fahad Road
light,2024-09-23 16:37:50,9,King Fahad Road
light,2024-09-23 16:37:51,9,King Fahad Road
mid,2024-09-23 16:37:52,10,King Fahad Road
mid,2024-09-23 16:37:53,10,King Fahad Road
mid,2024-09-23 16:37:54,10,King Fahad Road
mid,2024-09-23 16:37:55,10,King Fahad Road
mid,2024-09-23 16:37:56,10,King Fahad Road
mid,2024-09-23 16:37:57,10,King Fahad Road
mid,2024-09-23 16:37:58,10,King Fahad Road
mid,2024-09-23 16:37:59,10,King Fahad Road
mid,2024-09-23 16:38:00,10,King Fahad Road
mid,2024-09-23 16:38:01,10,King Fahad Road
light,2024-09-23 16:38:02,9,King Fahad Road
light,2024-09-23 16:38:03,9,King Fahad Road
light,2024-09-23 16:38:04,9,King Fahad Road
light,2024-09-23 16:38:05,9,King Fahad Road
mid,2024-09-23 16:38:06,10,King Fahad Road
light,2024-09-23 16:38:07,9,King Fahad Road
mid,2024-09-23 16:38:08,10,King Fahad Road
mid,2024-09-23 16:38:09,10,King Fahad Road
mid,2024-09-23 16:38:10,10,King Fahad Road
mid,2024-09-23 16:38:11,10,King Fahad Road
mid,2024-09-23 16:38:12,10,King Fahad Road
light,2024-09-23 16:38:13,9,King Fahad Road
light,2024-09-23 16:38:14,9,King Fahad Road
light,2024-09-23 16:38:15,9,King Fahad Road
mid,2024-09-23 16:38:16,10,King Fahad Road
mid,2024-09-23 16:38:17,10,King Fahad Road
light,2024-09-23 16:38:18,9,King Fahad Road
light,2024-09-23 16:38:19,9,King Fahad Road
light,2024-09-23 16:38:20,9,King Fahad Road
light,2024-09-23 16:38:21,9,King Fahad Road
light,2024-09-23 16:38:22,9,King Fahad Road
light,2024-09-23 16:38:23,9,King Fahad Road
light,2024-09-23 16:38:24,9,King Fahad Road
light,2024-09-23 16:38:25,9,King Fahad Road
light,2024-09-23 16:38:26,9,King Fahad Road
light,2024-09-23 16:38:27,9,King Fahad Road
mid,2024-09-23 16:38:28,10,King Fahad Road
mid,2024-09-23 16:38:29,10,King Fahad Road
mid,2024-09-23 16:38:30,10,King Fahad Road
mid,2024-09-23 16:38:31,12,King Fahad Road
mid,2024-09-23 16:38:32,11,King Fahad Road
mid,2024-09-23 16:38:33,10,King Fahad Road
mid,2024-09-23 16:38:34,10,King Fahad Road
mid,2024-09-23 16:38:35,10,King Fahad Road
light,2024-09-23 16:38:36,9,King Fahad Road
light,2024-09-23 16:38:37,9,King Fahad Road
light,2024-09-23 16:38:38,9,King Fahad Road
light,2024-09-23 16:38:39,9,King Fahad Road
